INVENT_ID,UTM_E,UTM_N,TAMBON,DISTRICT,PROVINCE,YEAR_DATA,REMARK,REMARK_2,LONGITUDE,LATITUDE
25673,658903,2021780,สันทะ,นาน้อย,น่าน,0, , ,100.50327844902031,18.27965608528279
25674,666136,2023120,สันทะ,นาน้อย,น่าน,0, , ,100.57179575422734,18.29121275906337
25675,657573,2022359,สันทะ,นาน้อย,น่าน,0, , ,100.49074403369578,18.28498602505482
25676,692120,2012292,สถาน,นาน้อย,น่าน,0, , ,100.81652634003179,18.191214622077855
25677,692120,2012292,สถาน,นาน้อย,น่าน,0, , ,100.81652634003179,18.191214622077855
25678,693713,2013939,สถาน,นาน้อย,น่าน,0, , ,100.83173826291882,18.205950230839072
25679,699587,2016681,สถาน,นาน้อย,น่าน,0, , ,100.88752764047291,18.230181860441377
25680,693713,2013939,สถาน,นาน้อย,น่าน,0, , ,100.83173826291882,18.205950230839072
25681,699587,2016681,สถาน,นาน้อย,น่าน,0, , ,100.88752764047291,18.230181860441377
25682,691610,2017284,สถาน,นาน้อย,น่าน,0, , ,100.81217258344485,18.236357385024924
25683,691610,2017284,สถาน,นาน้อย,น่าน,0, , ,100.81217258344485,18.236357385024924
25684,660120,2018202,เมืองลี่,นาหมื่น,น่าน,0, , ,100.51450835599823,18.247237219949582
25685,660732,2017946,เมืองลี่,นาหมื่น,น่าน,0, , ,100.52027539686691,18.244878341407322
25686,659405,2017984,เมืองลี่,นาหมื่น,น่าน,0, , ,100.50773020673734,18.24532089517034
25687,659520,2017962,เมืองลี่,นาหมื่น,น่าน,0, , ,100.50881593986249,18.245113553788574
25688,656395,2017362,เมืองลี่,นาหมื่น,น่าน,0, , ,100.47921966032882,18.239922889583255
25689,656337,2017811,เมืองลี่,นาหมื่น,น่าน,0, , ,100.47870552533455,18.24398401308033
25690,655976,2018347,เมืองลี่,นาหมื่น,น่าน,0, , ,100.47533273166367,18.248853314987908
25691,655100,2016920,เมืองลี่,นาหมื่น,น่าน,0, , ,100.4669407226121,18.236023407194455
25692,655612,2016714,เมืองลี่,นาหมื่น,น่าน,0, , ,100.4717664011162,18.23412497642532
25693,656138,2016340,เมืองลี่,นาหมื่น,น่าน,0, , ,100.47671153223769,18.230707462965963
25694,655494,2016240,เมืองลี่,นาหมื่น,น่าน,0, , ,100.47061463691517,18.229850751244808
25695,655575,2016230,เมืองลี่,นาหมื่น,น่าน,0, , ,100.47137976457265,18.229754517630372
25696,655672,2016207,เมืองลี่,นาหมื่น,น่าน,0, , ,100.47229518900059,18.229539658197822
25697,655724,2016170,เมืองลี่,นาหมื่น,น่าน,0, , ,100.47278405482221,18.22920156927568
25698,655491,2015952,เมืองลี่,นาหมื่น,น่าน,0, , ,100.47056440270846,18.22724876441154
25699,654478,2016062,เมืองลี่,นาหมื่น,น่าน,0, , ,100.46099449738948,18.228315923399453
25700,653843,2014208,เมืองลี่,นาหมื่น,น่าน,0, , ,100.45485112789672,18.211609779326455
25701,654185,2013756,เมืองลี่,นาหมื่น,น่าน,0, , ,100.45805056810326,18.207501177899516
25702,655625,2015982,เมืองลี่,นาหมื่น,น่าน,0, , ,100.47183368710776,18.227510100970694
25703,670832,2012540,บ่อแก้ว,นาหมื่น,น่าน,0, , ,100.61532790705444,18.195254043877586
25704,670832,2012540,บ่อแก้ว,นาหมื่น,น่าน,0, , ,100.61532790705444,18.195254043877586
25705,694595,2010660,บ่อแก้ว,นาหมื่น,น่าน,0, , ,100.83976444121163,18.176248686579605
25706,694474,2011840,บ่อแก้ว,นาหมื่น,น่าน,0, , ,100.83873261091283,18.18691950877225
25707,694851,2011787,บ่อแก้ว,นาหมื่น,น่าน,0, , ,100.84229072657092,18.18640656069269
25708,697299,2010012,บ่อแก้ว,นาหมื่น,น่าน,0, , ,100.86525684258022,18.170148415681172
25709,698853,2008724,บ่อแก้ว,นาหมื่น,น่าน,0, , ,100.87981796711252,18.15837001803294
25710,699019,2008654,บ่อแก้ว,นาหมื่น,น่าน,0, , ,100.88137982270753,18.157722321737097
25711,698359,2008106,บ่อแก้ว,นาหมื่น,น่าน,0, , ,100.87509030164296,18.15283282514408
25712,699179,2007902,บ่อแก้ว,นาหมื่น,น่าน,0, , ,100.88281896103126,18.150914261339494
25713,699513,2012618,บ่อแก้ว,นาหมื่น,น่าน,0, , ,100.8864327168479,18.19348557962063
25714,694595,2010660,บ่อแก้ว,นาหมื่น,น่าน,0, , ,100.83976444121163,18.176248686579605
25715,694474,2011840,บ่อแก้ว,นาหมื่น,น่าน,0, , ,100.83873261091283,18.18691950877225
25716,694851,2011787,บ่อแก้ว,นาหมื่น,น่าน,0, , ,100.84229072657092,18.18640656069269
25717,697299,2010012,บ่อแก้ว,นาหมื่น,น่าน,0, , ,100.86525684258022,18.170148415681172
25718,698853,2008724,บ่อแก้ว,นาหมื่น,น่าน,0, , ,100.87981796711252,18.15837001803294
